title,price,author,description,Publisher,Pages,Edition,Genre,Language,Binding,Return Policy,Payment Policy,Rating
"['Pw Pw Neet 12 Years Pyq Chapterwise and Topicwise Hindi\xa0\xa0(Hindi, Paperback, Kumar Gaurav)']",['₹359'],['Kumar Gaurav'],[''],['Publisher: Physics Wallah Private Limited'],[None],"['Edition: 2024, 2024']",['Genre: Medical'],['Language: Hindi'],['Binding: Paperback'],['7 Days Replacement Policy?'],['Cash on Delivery available?'],['4.4']
"['PW 37 Years NEET Previous Year Solved Question Papers Physics, Chemistry and Biology Combo Set of 3 Books PYQs Chapterwise Topicwise Solutions For NEET Exam 2025 with Newly Added Topics\xa0\xa0(Paperback, PW)']",['₹851'],['PW'],[''],['Publisher: physicswallah'],[None],"['Edition: 2024, 2024']",[None],[None],['Binding: Paperback'],['7 Days Replacement Policy?'],['Cash on Delivery available?'],['4.4']
"['BRAHMASTRA Complete Maths Multicolored Formula Book Second Edition BILINGUAL\xa0\xa0(Paperback, Hindi, Aditya Ranjan)']",['₹186'],['Aditya Ranjan'],[''],['Publisher: Rankers Gurukul'],['320 Pages'],[None],[None],['Language: Hindi'],[None],['7 Days Replacement Policy?'],['Cash on Delivery available?'],['4.5']
"['Ankit Bhati STATIC G.K Paperback, Hindi, Ankit Bhati Sir, Naveen Sharma Sir\xa0\xa0(Paperback, Hindi, ANKIT BHATI)']",['₹140'],['ANKIT BHATI'],['Static G.K By Ankit Bhati And Naveen Sir In Hindi Latest Edition 2025'],['Publisher: ROJGAAR PUBLICATION'],['256 Pages'],[None],[None],['Language: Hindi'],[None],['7 Days Replacement Policy?'],['Cash on Delivery available?'],['4.4']
"['Aditya Ranjan Sir Railway Maths| Railway Ganit| Hindi Medium | 4000+ Chapter-Wise MCQs | NTPC, RPF SI, RPF Constable, ALP, Technician, Group D, RRB JE And Other Railway Exams\xa0\xa0(Paperback, Hindi, Aditya Ranjan Sir)']",['₹235'],['Aditya Ranjan Sir'],"['This book contains chapter-wise 4000 latest questions (PYQs) asked in Railway exams. This book is highly useful for RAILWAY ALP, TECHNICIAN, RPF SI, RPF CONSTABLE, RRB NTPC CBT-1, RRB NTPC CBT-2, Railway Group D and other railway exams. All questions of each chapter have been given TYPE-WISE and LEVEL-WISE. The SOLUTIONS given in the book are SHORT & EXAM ORIENTED with detailed explanation just like the SOLUTIONS given by Aditya Sir in the classroom, with the help of which you can answer all the questions with minimum effort. Chapter test of each chapter has also been given. After solving the whole chapter, attempt chapter test and see how well you have learnt the concepts. Revising this book 2-3 times you can clear any railway exam.']",['Publisher: RG Publication'],['495 Pages'],[None],[None],['Language: Hindi'],[None],['7 Days Replacement Policy?'],['Cash on Delivery available?'],['4.6']
"['Gunahon Ka Devta\xa0\xa0(Hindi, Paperback, Bharti Dharamveer)']",['₹259'],['Bharti Dharamveer'],"['गुनाहों का देवता - \nधर्मवीर भारती के इस उपन्यास का प्रकाशन और इसके प्रति पाठकों का अटूट सम्मोहन हिन्दी साहित्य-जगत् की एक बड़ी उपलब्धि बन गये हैं। दरअसल, यह उपन्यास हमारे समय में भारतीय भाषाओं की सबसे अधिक बिकनेवाली लोकप्रिय साहित्यिक पुस्तकों में पहली पंक्ति में है। लाखों-लाख पाठकों के लिए प्रिय इस अनूठे उपन्यास की माँग आज भी वैसी ही बनी हुई है जैसी कि इसके प्रकाशन के प्रारम्भिक वर्षों में थी।—और इस सबका बड़ा कारण शायद एक समर्थ रचनाकार की कोई अव्यक्त पीड़ा और एकान्त आस्था है, जिसने इस उपन्यास को एक अद्वितीय कृति बना दिया है']",['Publisher: Vani Prakashan'],['Pages: 264'],"['Edition: 83th, 2024']",['Genre: Novel'],['Language: Hindi'],['Binding: Paperback'],['7 Days Replacement Policy?'],['Cash on Delivery available?'],['4.6']
"['Vocab Sanjeevani | 21000+ Words | Bilingual | 3rd Edition | Prashant Solanki Sir | Important For - SSC, Bank, Defence, State & Other Govt. Exams\xa0\xa0(Paperback, Prashant Solanki)']",['₹279'],['Prashant Solanki'],[''],['Publisher: Rankers Gurukul'],['448 Pages'],[None],[None],['Language: English'],[None],['7 Days Replacement Policy?'],['Cash on Delivery available?'],['4.5']
"['The Constitution Of India And Dr. Babasaheb Ambedkar + The Untouchables: Who Are The Untouchables And What Is The Origin Of Untouchability? | Unique And Enriching Way To Understand The Foundation Of Indian Democracy | Social Justice | Fundamental Rights (Set Of 2 Books In English)\xa0\xa0(Paperback, Kishor Makwana, Dr. B.R. Ambedkar)']",['₹420'],[''],['9789355627919 + 9789355717047'],['Publisher: Prabhat Prakashan Pvt. Ltd.'],['372 Pages'],[None],[None],['Language: English'],[None],['7 Days Replacement Policy?'],['Cash on Delivery available?'],['']
"['Delhi Police Combo 4 Books, Hindi Medium,\xa0\xa0(Perfect, Hindi, Career Will)']",['₹199'],['Career Will'],[''],['Publisher: Career Will'],['780 Pages'],[None],[None],['Language: Hindi'],[None],['7 Days Replacement Policy?'],['Cash on Delivery available?'],['4.4']
"['Aditya Ranjan Sir Railway Maths | English Medium | 4000+ Chapter-Wise MCQs | NTPC, RPF SI, RPF Constable, ALP, Technician, Group D, RRB JE And Other Railway Exams\xa0\xa0(Paperback, Aditya Ranjan Sir)']",['₹249'],['Aditya Ranjan Sir'],"['This book contains chapter-wise 4000 latest questions (PYQs) asked in Railway exams. This book is highly useful for RAILWAY ALP, TECHNICIAN, RPF SI, RPF CONSTABLE, RRB NTPC CBT-1, RRB NTPC CBT-2, Railway Group D and other railway exams. All questions of each chapter have been given TYPE-WISE and LEVEL-WISE. The SOLUTIONS given in the book are SHORT & EXAM ORIENTED with detailed explanation just like the SOLUTIONS given by Aditya Sir in the classroom, with the help of which you can answer all the questions with minimum effort. Chapter test of each chapter has also been given. After solving the whole chapter, attempt chapter test and see how well you have learnt the concepts. Revising this book 2-3 times you can clear any railway exam.']",['Publisher: RG Publication'],['450 Pages'],[None],[None],['Language: English'],[None],['7 Days Replacement Policy?'],['Cash on Delivery available?'],['4.5']
"['Osho Bestsellers In Hindi|- Jeevan Jine Ki Kala + Dhyan Sutra (Set of 2 Books)\xa0\xa0(Paperback, Osho)']",['₹194'],['Osho'],[''],['Publisher: Diamond Books'],['Pages: 332'],"['Edition: 1st, 2022']",['Genre: Religion & Spirituality'],[None],['Binding: Paperback'],['7 Days Replacement Policy?'],['Cash on Delivery available?'],['4.5']
"['CAT Exam 2025 book combo by Arun Sharma (Set of 4 books) - Quantitative Aptitude + Verbal Ability and Reading Comprehension + Logical Reasoning + Data Interpretation| Latest editions\xa0\xa0(Paperback, Arun Sharma, Meenakshi Upadhyay)']","['₹2,295']","['Arun Sharma, Meenakshi Upadhyay']",[''],['Publisher: McGraw Hill'],['Pages: 2968'],['Edition: 2024'],[None],[None],['Binding: Paperback'],['7 Days Replacement Policy?'],['Cash on Delivery available?'],['4.2']
"['Roman Script Quran With Translation And Transliteration\xa0\xa0(Hardcover, Muslim Basket)']",['₹640'],['Muslim Basket'],['Roman Script Quran With Translation and Transliteration'],['Publisher: Muslim Basket'],['595 Pages'],[None],[None],['Language: English'],[None],['7 Days Replacement Policy?'],['Cash on Delivery available?'],['4.8']
"['Maths Concept King All Formulas And Theorem | Smart Tricks | Arithmetic & Advance Maths | Bilingual | Edition 2024 | CET, SSC CGL, CPO, CHSL, MTS, CDS, UPSC |All Other Competitive Exams | Formula Book\xa0\xa0(Paperback, Hindi, Gagan Pratap Sir)']",['₹189'],['Gagan Pratap Sir'],[''],['Publisher: Champion Publication'],['320 Pages'],[None],[None],['Language: Hindi'],[None],['7 Days Replacement Policy?'],['Cash on Delivery available?'],['4.4']
"['Railway Maths Rrb 2024-25 By Satyam Gupta Sir\xa0\xa0(Paperback, Hindi, Satyam Gupta)']",['₹209'],['Satyam Gupta'],[''],['Publisher: MD Classes'],['324 Pages'],[None],[None],['Language: Hindi'],[None],['7 Days Replacement Policy?'],['Cash on Delivery available?'],['4.5']
"['Complete Ramban English | Bilingual | The Ultimate Book For All Competitive Exams\xa0\xa0(Paperback, Prashant Solanki)']",['₹289'],['Prashant Solanki'],['Table of Content : \n1.Basics of English \n2.Tense \n3.Verbs \n4.Modals \n5.Nouns \n6.Articles \n7.Pronouns \n8.Tags \n9.Adjectives \n10.Determiners \n11.Subject Verb Agreement \n12.Adverbs \n13.Inversion \n14.Conjunctions \n15.Prepositions \n16.Superfluous and wrong Expressions \n17.Subjunctive Mood \n18.Conditionals \n19.Non-Finite Verbs \n20.Voice \n21.Narration \n22.Mixed Exercise \n23.Cloze Test \n24.Sentence Rearrangements \n25.Unseen passage \n26.Idioms & Phrases \n27.One-Word Substitutions \n28.Synonyms \n29.Antonyms'],['Publisher: Rankers Gurukul'],['508 Pages'],[None],[None],['Language: English'],[None],['7 Days Replacement Policy?'],['Cash on Delivery available?'],['4.6']
"['Quantitative Aptitude for CAT | 11th Edition (Latest) | Quant | CAT Preparation Exam Book 2025 | Previous Years Solved Papers (PYQ) | McGraw Hill edge Access: Mock Tests, Expert Sessions & Strategies\xa0\xa0(Paperback, Arun Sharma)']",['₹608'],['Arun Sharma'],[''],['Publisher: McGraw Hill'],['Pages: 910'],"['Edition: 11, 2024']",['Genre: Book'],[None],['Binding: Paperback'],['7 Days Replacement Policy?'],['Cash on Delivery available?'],['4.5']
